Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;06 Cantabria;09. Ocio, espectáculos y cultura;2014;536.890
Total Nacional;06 Cantabria;10. Educación;2020;113.322
Total Nacional;06 Cantabria;10. Educación;2019;117.604
Total Nacional;06 Cantabria;10. Educación;2018;116.030
Total Nacional;06 Cantabria;10. Educación;2017;114.563
Total Nacional;06 Cantabria;10. Educación;2016;112.030
Total Nacional;06 Cantabria;10. Educación;2015;107.830
Total Nacional;06 Cantabria;10. Educación;2014;108.775
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2020;832.522
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2019;1.599.794
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2018;1.560.542
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2017;1.548.235
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2016;1.387.421
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2015;1.285.249
Total Nacional;06 Cantabria;11. Hoteles, cafés y restaurantes;2014;1.226.565
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2020;773.666
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2019;891.345
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2018;912.333
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2017;906.342
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2016;870.065
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2015;787.932
Total Nacional;06 Cantabria;12. Otros bienes y servicios;2014;741.978
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2020;8.050.823
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2019;9.547.089
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2018;9.511.156
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2017;9.342.226
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2016;8.981.440
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2015;8.727.553
Total Nacional;06 Cantabria;Total gasto en consumo final de los hogares interior;2014;8.447.868
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2020;7.433.177
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2019;8.624.878
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2018;8.485.698
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2017;8.218.657
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2016;7.991.136
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2015;8.016.205
Total Nacional;06 Cantabria;P.3. Gasto en consumo final de los hogares;2014;7.807.909
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2020;9.598.651
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2019;10.697.493
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2018;10.430.506
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2017;10.073.740
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2016;9.821.984
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2015;9.827.154
Total Nacional;06 Cantabria;P.4. Consumo final efectivo de los hogares;2014;9.546.623
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2020;5.265.410
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2019;4.948.242
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2018;4.969.865
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2017;4.852.523
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2016;4.840.476
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2015;5.004.860
Total Nacional;07 Castilla y León;01. Alimentos y bebidas no alcohólicas;2014;4.807.822
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.558.062
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.447.029
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.446.272
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.432.401
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.460.448
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2015;1.393.621
Total Nacional;07 Castilla y León;02. Bebidas alcohólicas, tabaco y narcóticos;2014;1.404.116
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2020;1.016.875
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2019;1.372.285
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2018;1.391.790
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2017;1.463.590
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2016;1.473.239
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2015;1.406.182
Total Nacional;07 Castilla y León;03. Artículos de vestir y calzado;2014;1.358.669
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;8.248.767
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;8.484.183
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;8.368.732
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;8.250.055
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;8.095.750
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;8.102.971
Total Nacional;07 Castilla y León;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;8.215.201
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;1.279.943
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.414.365
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.483.715
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.486.736
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.435.803
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;1.418.752
Total Nacional;07 Castilla y León;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;1.292.023
Total Nacional;07 Castilla y León;06. Salud;2020;1.501.708
Total Nacional;07 Castilla y León;06. Salud;2019;1.560.111
Total Nacional;07 Castilla y León;06. Salud;2018;1.425.933
Total Nacional;07 Castilla y León;06. Salud;2017;1.363.425
Total Nacional;07 Castilla y León;06. Salud;2016;1.381.573
Total Nacional;07 Castilla y León;06. Salud;2015;1.360.650
Total Nacional;07 Castilla y León;06. Salud;2014;1.308.145
Total Nacional;07 Castilla y León;07. Transporte;2020;3.261.050
Total Nacional;07 Castilla y León;07. Transporte;2019;4.197.942
Total Nacional;07 Castilla y León;07. Transporte;2018;4.195.974
Total Nacional;07 Castilla y León;07. Transporte;2017;4.041.249
Total Nacional;07 Castilla y León;07. Transporte;2016;3.668.236
Total Nacional;07 Castilla y León;07. Transporte;2015;3.909.742
Total Nacional;07 Castilla y León;07. Transporte;2014;3.740.974
Total Nacional;07 Castilla y León;08. Comunicaciones;2020;887.290
Total Nacional;07 Castilla y León;08. Comunicaciones;2019;911.595
Total Nacional;07 Castilla y León;08. Comunicaciones;2018;926.656
Total Nacional;07 Castilla y León;08. Comunicaciones;2017;896.587
Total Nacional;07 Castilla y León;08. Comunicaciones;2016;862.387
Total Nacional;07 Castilla y León;08. Comunicaciones;2015;823.961
Total Nacional;07 Castilla y León;08. Comunicaciones;2014;808.662
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2020;1.814.615
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2019;2.627.091
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2018;2.555.529
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2017;2.461.374
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2016;2.306.827
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2015;2.314.330
Total Nacional;07 Castilla y León;09. Ocio, espectáculos y cultura;2014;2.175.879
Total Nacional;07 Castilla y León;10. Educación;2020;518.309
Total Nacional;07 Castilla y León;10. Educación;2019;545.785
Total Nacional;07 Castilla y León;10. Educación;2018;547.592
Total Nacional;07 Castilla y León;10. Educación;2017;547.795
Total Nacional;07 Castilla y León;10. Educación;2016;543.604
Total Nacional;07 Castilla y León;10. Educación;2015;540.844
Total Nacional;07 Castilla y León;10. Educación;2014;558.955
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2020;3.126.990
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2019;5.400.888
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2018;5.121.051
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2017;5.047.611
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2016;4.665.156
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2015;4.478.816
Total Nacional;07 Castilla y León;11. Hoteles, cafés y restaurantes;2014;4.065.671
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2020;3.316.887
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2019;3.532.211
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2018;3.513.775
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2017;3.409.028
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2016;3.322.537
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2015;3.183.007
Total Nacional;07 Castilla y León;12. Otros bienes y servicios;2014;3.131.648
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2020;31.795.906
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2019;36.441.727
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2018;35.946.884
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2017;35.252.374
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2016;34.056.036
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2015;33.937.736
Total Nacional;07 Castilla y León;Total gasto en consumo final de los hogares interior;2014;32.867.765
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2020;29.909.182
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2019;33.962.838
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2018;33.581.405
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2017;32.959.768
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2016;31.899.283
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2015;31.996.915
Total Nacional;07 Castilla y León;P.3. Gasto en consumo final de los hogares;2014;30.348.114
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2020;38.669.923
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2019;42.405.339
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2018;41.522.925
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2017;40.840.278
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2016;39.502.283
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2015;39.480.637
Total Nacional;07 Castilla y León;P.4. Consumo final efectivo de los hogares;2014;37.475.442
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2020;3.764.726
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2019;3.454.910
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2018;3.426.190
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2017;3.299.446
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2016;3.329.348
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2015;3.383.231
Total Nacional;08 Castilla - La Mancha;01. Alimentos y bebidas no alcohólicas;2014;3.349.269
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.088.596
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2019;1.055.060
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.064.747
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2017;1.074.731
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2016;1.079.012
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2015;1.036.782
Total Nacional;08 Castilla - La Mancha;02. Bebidas alcohólicas, tabaco y narcóticos;2014;1.044.577
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2020;715.325
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2019;997.578
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2018;1.009.181
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2017;1.062.856
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2016;1.065.271
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2015;1.059.662
Total Nacional;08 Castilla - La Mancha;03. Artículos de vestir y calzado;2014;1.042.775
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;5.752.608
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;5.889.596
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;5.801.230
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;5.702.556
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;5.576.095
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;5.697.026
Total Nacional;08 Castilla - La Mancha;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;5.772.884
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;998.511
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.092.212
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.128.237
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.141.535
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;1.085.580
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;1.060.435
Total Nacional;08 Castilla - La Mancha;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;1.011.861
Total Nacional;08 Castilla - La Mancha;06. Salud;2020;1.104.219
Total Nacional;08 Castilla - La Mancha;06. Salud;2019;1.119.246
Total Nacional;08 Castilla - La Mancha;06. Salud;2018;1.069.067
Total Nacional;08 Castilla - La Mancha;06. Salud;2017;1.048.200
Total Nacional;08 Castilla - La Mancha;06. Salud;2016;1.048.617
Total Nacional;08 Castilla - La Mancha;06. Salud;2015;1.079.396
Total Nacional;08 Castilla - La Mancha;06. Salud;2014;1.035.242
Total Nacional;08 Castilla - La Mancha;07. Transporte;2020;2.872.610
Total Nacional;08 Castilla - La Mancha;07. Transporte;2019;3.885.667
Total Nacional;08 Castilla - La Mancha;07. Transporte;2018;4.040.543
Total Nacional;08 Castilla - La Mancha;07. Transporte;2017;3.838.031
Total Nacional;08 Castilla - La Mancha;07. Transporte;2016;3.406.556
Total Nacional;08 Castilla - La Mancha;07. Transporte;2015;3.295.110
Total Nacional;08 Castilla - La Mancha;07. Transporte;2014;3.159.945
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2020;679.012
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2019;696.243
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2018;711.317
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2017;691.423
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2016;654.631
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2015;626.582
Total Nacional;08 Castilla - La Mancha;08. Comunicaciones;2014;612.190
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2020;1.166.456
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2019;1.717.822
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2018;1.674.608
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2017;1.581.042
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2016;1.517.335
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2015;1.482.364
Total Nacional;08 Castilla - La Mancha;09. Ocio, espectáculos y cultura;2014;1.398.327
Total Nacional;08 Castilla - La Mancha;10. Educación;2020;305.648
Total Nacional;08 Castilla - La Mancha;10. Educación;2019;320.911
Total Nacional;08 Castilla - La Mancha;10. Educación;2018;317.692
Total Nacional;08 Castilla - La Mancha;10. Educación;2017;316.342
Total Nacional;08 Castilla - La Mancha;10. Educación;2016;313.127
Total Nacional;08 Castilla - La Mancha;10. Educación;2015;303.809
Total Nacional;08 Castilla - La Mancha;10. Educación;2014;311.512
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2020;2.010.783
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2019;3.305.215
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2018;3.107.277
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2017;3.116.890
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2016;2.917.526
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2015;2.638.170
Total Nacional;08 Castilla - La Mancha;11. Hoteles, cafés y restaurantes;2014;2.558.706
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2020;2.214.442
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2019;2.443.228
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2018;2.411.480
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2017;2.307.823
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2016;2.282.473
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2015;2.230.258
Total Nacional;08 Castilla - La Mancha;12. Otros bienes y servicios;2014;2.160.885
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2020;22.672.936
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2019;25.977.688
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2018;25.761.569
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2017;25.180.875
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2016;24.275.571
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2015;23.892.825
Total Nacional;08 Castilla - La Mancha;Total gasto en consumo final de los hogares interior;2014;23.458.173
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2020;21.795.400
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2019;25.293.187
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2018;25.000.062
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2017;24.345.156
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2016;23.659.109
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2015;23.161.121
Total Nacional;08 Castilla - La Mancha;P.3. Gasto en consumo final de los hogares;2014;21.999.610
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2020;28.959.507
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2019;32.074.112
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2018;31.407.014
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2017;30.510.551
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2016;29.673.135
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2015;29.077.316
Total Nacional;08 Castilla - La Mancha;P.4. Consumo final efectivo de los hogares;2014;27.611.098
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2020;17.188.237
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2019;16.125.215
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2018;15.841.741
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2017;15.158.608
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2016;14.931.163
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2015;14.566.058
Total Nacional;09 Cataluña;01. Alimentos y bebidas no alcohólicas;2014;14.226.204
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2020;5.040.810
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2019;4.965.794
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2018;4.893.991
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2017;4.878.396
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2016;4.875.359
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2015;4.773.093
Total Nacional;09 Cataluña;02. Bebidas alcohólicas, tabaco y narcóticos;2014;4.732.800
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2020;3.315.629
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2019;4.983.581
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2018;5.053.264
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2017;5.278.914
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2016;5.212.325
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2015;5.216.887
Total Nacional;09 Cataluña;03. Artículos de vestir y calzado;2014;5.025.681
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;29.893.510
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;30.325.944
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;29.618.575
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;28.721.309
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;27.866.036
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;27.691.190
Total Nacional;09 Cataluña;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;27.694.733
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;4.711.268
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;5.396.764
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;5.537.704
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;5.533.914
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;5.352.050
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;5.079.765
Total Nacional;09 Cataluña;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;4.727.270
Total Nacional;09 Cataluña;06. Salud;2020;4.759.961
Total Nacional;09 Cataluña;06. Salud;2019;5.053.646
Total Nacional;09 Cataluña;06. Salud;2018;4.899.933
Total Nacional;09 Cataluña;06. Salud;2017;4.613.712
Total Nacional;09 Cataluña;06. Salud;2016;4.087.887
Total Nacional;09 Cataluña;06. Salud;2015;4.296.209
Total Nacional;09 Cataluña;06. Salud;2014;4.282.440
Total Nacional;09 Cataluña;07. Transporte;2020;9.996.518
Total Nacional;09 Cataluña;07. Transporte;2019;14.570.074
Total Nacional;09 Cataluña;07. Transporte;2018;14.951.419
Total Nacional;09 Cataluña;07. Transporte;2017;14.476.822
Total Nacional;09 Cataluña;07. Transporte;2016;13.164.573
Total Nacional;09 Cataluña;07. Transporte;2015;13.809.757
Total Nacional;09 Cataluña;07. Transporte;2014;12.916.144
Total Nacional;09 Cataluña;08. Comunicaciones;2020;3.151.183
Total Nacional;09 Cataluña;08. Comunicaciones;2019;3.289.629
Total Nacional;09 Cataluña;08. Comunicaciones;2018;3.300.307
Total Nacional;09 Cataluña;08. Comunicaciones;2017;3.130.992
Total Nacional;09 Cataluña;08. Comunicaciones;2016;2.949.959
Total Nacional;09 Cataluña;08. Comunicaciones;2015;2.756.195
Total Nacional;09 Cataluña;08. Comunicaciones;2014;2.768.767
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2020;6.087.713
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2019;10.061.198
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2018;10.044.647
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2017;10.224.723
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2016;9.731.929
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2015;9.417.465
Total Nacional;09 Cataluña;09. Ocio, espectáculos y cultura;2014;8.799.774
Total Nacional;09 Cataluña;10. Educación;2020;2.169.867
Total Nacional;09 Cataluña;10. Educación;2019;2.231.633
Total Nacional;09 Cataluña;10. Educación;2018;2.189.951
Total Nacional;09 Cataluña;10. Educación;2017;2.139.083
Total Nacional;09 Cataluña;10. Educación;2016;2.077.774
Total Nacional;09 Cataluña;10. Educación;2015;2.018.156
Total Nacional;09 Cataluña;10. Educación;2014;2.036.445
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2020;9.441.307
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2019;18.421.072
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2018;17.955.579
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2017;17.726.172
Total Nacional;09 Cataluña;11. Hoteles, cafés y restaurantes;2016;16.025.171
