País de nacimiento;Sexo;Edad;Periodo;Total
Países miembros de la UE distintos de España;Mujeres;2 años;2022;1.240
Países miembros de la UE distintos de España;Mujeres;2 años;2021;1.498
Países miembros de la UE distintos de España;Mujeres;3 años;2024;1.944
Países miembros de la UE distintos de España;Mujeres;3 años;2023;1.774
Países miembros de la UE distintos de España;Mujeres;3 años;2022;1.733
Países miembros de la UE distintos de España;Mujeres;3 años;2021;1.793
Países miembros de la UE distintos de España;Mujeres;4 años;2024;2.157
Países miembros de la UE distintos de España;Mujeres;4 años;2023;2.159
Países miembros de la UE distintos de España;Mujeres;4 años;2022;2.008
Países miembros de la UE distintos de España;Mujeres;4 años;2021;2.111
Países miembros de la UE distintos de España;Mujeres;5 años;2024;2.516
Países miembros de la UE distintos de España;Mujeres;5 años;2023;2.445
Países miembros de la UE distintos de España;Mujeres;5 años;2022;2.238
Países miembros de la UE distintos de España;Mujeres;5 años;2021;2.442
Países miembros de la UE distintos de España;Mujeres;6 años;2024;2.726
Países miembros de la UE distintos de España;Mujeres;6 años;2023;2.569
Países miembros de la UE distintos de España;Mujeres;6 años;2022;2.585
Países miembros de la UE distintos de España;Mujeres;6 años;2021;2.692
Países miembros de la UE distintos de España;Mujeres;7 años;2024;2.824
Países miembros de la UE distintos de España;Mujeres;7 años;2023;2.860
Países miembros de la UE distintos de España;Mujeres;7 años;2022;2.707
Países miembros de la UE distintos de España;Mujeres;7 años;2021;2.520
Países miembros de la UE distintos de España;Mujeres;8 años;2024;3.000
Países miembros de la UE distintos de España;Mujeres;8 años;2023;2.919
Países miembros de la UE distintos de España;Mujeres;8 años;2022;2.540
Países miembros de la UE distintos de España;Mujeres;8 años;2021;2.545
Países miembros de la UE distintos de España;Mujeres;9 años;2024;3.089
Países miembros de la UE distintos de España;Mujeres;9 años;2023;2.729
Países miembros de la UE distintos de España;Mujeres;9 años;2022;2.577
Países miembros de la UE distintos de España;Mujeres;9 años;2021;2.364
Países miembros de la UE distintos de España;Mujeres;10 años;2024;2.916
Países miembros de la UE distintos de España;Mujeres;10 años;2023;2.731
Países miembros de la UE distintos de España;Mujeres;10 años;2022;2.421
Países miembros de la UE distintos de España;Mujeres;10 años;2021;2.498
Países miembros de la UE distintos de España;Mujeres;11 años;2024;2.895
Países miembros de la UE distintos de España;Mujeres;11 años;2023;2.653
Países miembros de la UE distintos de España;Mujeres;11 años;2022;2.569
Países miembros de la UE distintos de España;Mujeres;11 años;2021;2.737
Países miembros de la UE distintos de España;Mujeres;12 años;2024;2.819
Países miembros de la UE distintos de España;Mujeres;12 años;2023;2.777
Países miembros de la UE distintos de España;Mujeres;12 años;2022;2.751
Países miembros de la UE distintos de España;Mujeres;12 años;2021;2.787
Países miembros de la UE distintos de España;Mujeres;13 años;2024;2.848
Países miembros de la UE distintos de España;Mujeres;13 años;2023;2.975
Países miembros de la UE distintos de España;Mujeres;13 años;2022;2.811
Países miembros de la UE distintos de España;Mujeres;13 años;2021;2.771
Países miembros de la UE distintos de España;Mujeres;14 años;2024;3.058
Países miembros de la UE distintos de España;Mujeres;14 años;2023;2.950
Países miembros de la UE distintos de España;Mujeres;14 años;2022;2.805
Países miembros de la UE distintos de España;Mujeres;14 años;2021;3.392
Países miembros de la UE distintos de España;Mujeres;15 años;2024;3.047
Países miembros de la UE distintos de España;Mujeres;15 años;2023;2.984
Países miembros de la UE distintos de España;Mujeres;15 años;2022;3.541
Países miembros de la UE distintos de España;Mujeres;15 años;2021;3.855
Países miembros de la UE distintos de España;Mujeres;16 años;2024;3.107
Países miembros de la UE distintos de España;Mujeres;16 años;2023;3.611
Países miembros de la UE distintos de España;Mujeres;16 años;2022;4.049
Países miembros de la UE distintos de España;Mujeres;16 años;2021;4.200
Países miembros de la UE distintos de España;Mujeres;17 años;2024;3.707
Países miembros de la UE distintos de España;Mujeres;17 años;2023;4.070
Países miembros de la UE distintos de España;Mujeres;17 años;2022;4.229
Países miembros de la UE distintos de España;Mujeres;17 años;2021;4.672
Países miembros de la UE distintos de España;Mujeres;18 años;2024;4.475
Países miembros de la UE distintos de España;Mujeres;18 años;2023;4.713
Países miembros de la UE distintos de España;Mujeres;18 años;2022;4.952
Países miembros de la UE distintos de España;Mujeres;18 años;2021;5.075
Países miembros de la UE distintos de España;Mujeres;19 años;2024;5.325
Países miembros de la UE distintos de España;Mujeres;19 años;2023;5.668
Países miembros de la UE distintos de España;Mujeres;19 años;2022;5.726
Países miembros de la UE distintos de España;Mujeres;19 años;2021;6.160
Países miembros de la UE distintos de España;Mujeres;20 años;2024;6.289
Países miembros de la UE distintos de España;Mujeres;20 años;2023;6.471
Países miembros de la UE distintos de España;Mujeres;20 años;2022;6.615
Países miembros de la UE distintos de España;Mujeres;20 años;2021;7.078
Países miembros de la UE distintos de España;Mujeres;21 años;2024;6.853
Países miembros de la UE distintos de España;Mujeres;21 años;2023;7.251
Países miembros de la UE distintos de España;Mujeres;21 años;2022;7.510
Países miembros de la UE distintos de España;Mujeres;21 años;2021;8.149
Países miembros de la UE distintos de España;Mujeres;22 años;2024;7.649
Países miembros de la UE distintos de España;Mujeres;22 años;2023;8.049
Países miembros de la UE distintos de España;Mujeres;22 años;2022;8.393
Países miembros de la UE distintos de España;Mujeres;22 años;2021;8.472
Países miembros de la UE distintos de España;Mujeres;23 años;2024;8.452
Países miembros de la UE distintos de España;Mujeres;23 años;2023;8.981
Países miembros de la UE distintos de España;Mujeres;23 años;2022;8.783
Países miembros de la UE distintos de España;Mujeres;23 años;2021;8.903
Países miembros de la UE distintos de España;Mujeres;24 años;2024;9.366
Países miembros de la UE distintos de España;Mujeres;24 años;2023;9.448
Países miembros de la UE distintos de España;Mujeres;24 años;2022;9.192
Países miembros de la UE distintos de España;Mujeres;24 años;2021;9.291
Países miembros de la UE distintos de España;Mujeres;25 años;2024;9.942
Países miembros de la UE distintos de España;Mujeres;25 años;2023;9.855
Países miembros de la UE distintos de España;Mujeres;25 años;2022;9.419
Países miembros de la UE distintos de España;Mujeres;25 años;2021;10.062
Países miembros de la UE distintos de España;Mujeres;26 años;2024;10.317
Países miembros de la UE distintos de España;Mujeres;26 años;2023;9.927
Países miembros de la UE distintos de España;Mujeres;26 años;2022;10.162
Países miembros de la UE distintos de España;Mujeres;26 años;2021;10.698
Países miembros de la UE distintos de España;Mujeres;27 años;2024;10.344
Países miembros de la UE distintos de España;Mujeres;27 años;2023;10.535
Países miembros de la UE distintos de España;Mujeres;27 años;2022;10.714
Países miembros de la UE distintos de España;Mujeres;27 años;2021;11.564
Países miembros de la UE distintos de España;Mujeres;28 años;2024;10.739
Países miembros de la UE distintos de España;Mujeres;28 años;2023;11.009
Países miembros de la UE distintos de España;Mujeres;28 años;2022;11.410
Países miembros de la UE distintos de España;Mujeres;28 años;2021;11.974
Países miembros de la UE distintos de España;Mujeres;29 años;2024;11.188
Países miembros de la UE distintos de España;Mujeres;29 años;2023;11.532
Países miembros de la UE distintos de España;Mujeres;29 años;2022;11.694
Países miembros de la UE distintos de España;Mujeres;29 años;2021;12.646
Países miembros de la UE distintos de España;Mujeres;30 años;2024;11.640
Países miembros de la UE distintos de España;Mujeres;30 años;2023;11.832
Países miembros de la UE distintos de España;Mujeres;30 años;2022;12.304
Países miembros de la UE distintos de España;Mujeres;30 años;2021;13.919
Países miembros de la UE distintos de España;Mujeres;31 años;2024;12.096
Países miembros de la UE distintos de España;Mujeres;31 años;2023;12.531
Países miembros de la UE distintos de España;Mujeres;31 años;2022;13.517
Países miembros de la UE distintos de España;Mujeres;31 años;2021;15.374
Países miembros de la UE distintos de España;Mujeres;32 años;2024;12.627
Países miembros de la UE distintos de España;Mujeres;32 años;2023;13.681
Países miembros de la UE distintos de España;Mujeres;32 años;2022;15.001
Países miembros de la UE distintos de España;Mujeres;32 años;2021;16.562
Países miembros de la UE distintos de España;Mujeres;33 años;2024;13.870
Países miembros de la UE distintos de España;Mujeres;33 años;2023;15.150
Países miembros de la UE distintos de España;Mujeres;33 años;2022;16.069
Países miembros de la UE distintos de España;Mujeres;33 años;2021;17.257
Países miembros de la UE distintos de España;Mujeres;34 años;2024;15.143
Países miembros de la UE distintos de España;Mujeres;34 años;2023;16.177
Países miembros de la UE distintos de España;Mujeres;34 años;2022;16.726
Países miembros de la UE distintos de España;Mujeres;34 años;2021;18.303
Países miembros de la UE distintos de España;Mujeres;35 años;2024;16.214
Países miembros de la UE distintos de España;Mujeres;35 años;2023;16.918
Países miembros de la UE distintos de España;Mujeres;35 años;2022;17.898
Países miembros de la UE distintos de España;Mujeres;35 años;2021;18.092
Países miembros de la UE distintos de España;Mujeres;36 años;2024;17.023
Países miembros de la UE distintos de España;Mujeres;36 años;2023;17.901
Países miembros de la UE distintos de España;Mujeres;36 años;2022;17.652
Países miembros de la UE distintos de España;Mujeres;36 años;2021;18.292
Países miembros de la UE distintos de España;Mujeres;37 años;2024;18.080
Países miembros de la UE distintos de España;Mujeres;37 años;2023;17.747
Países miembros de la UE distintos de España;Mujeres;37 años;2022;17.873
Países miembros de la UE distintos de España;Mujeres;37 años;2021;17.847
Países miembros de la UE distintos de España;Mujeres;38 años;2024;17.832
Países miembros de la UE distintos de España;Mujeres;38 años;2023;17.914
Países miembros de la UE distintos de España;Mujeres;38 años;2022;17.412
Países miembros de la UE distintos de España;Mujeres;38 años;2021;18.301
Países miembros de la UE distintos de España;Mujeres;39 años;2024;17.977
Países miembros de la UE distintos de España;Mujeres;39 años;2023;17.475
Países miembros de la UE distintos de España;Mujeres;39 años;2022;17.970
Países miembros de la UE distintos de España;Mujeres;39 años;2021;19.188
Países miembros de la UE distintos de España;Mujeres;40 años;2024;17.626
Países miembros de la UE distintos de España;Mujeres;40 años;2023;18.027
Países miembros de la UE distintos de España;Mujeres;40 años;2022;18.784
Países miembros de la UE distintos de España;Mujeres;40 años;2021;19.564
Países miembros de la UE distintos de España;Mujeres;41 años;2024;18.051
Países miembros de la UE distintos de España;Mujeres;41 años;2023;18.945
Países miembros de la UE distintos de España;Mujeres;41 años;2022;19.234
Países miembros de la UE distintos de España;Mujeres;41 años;2021;19.045
Países miembros de la UE distintos de España;Mujeres;42 años;2024;19.030
Países miembros de la UE distintos de España;Mujeres;42 años;2023;19.336
Países miembros de la UE distintos de España;Mujeres;42 años;2022;18.694
Países miembros de la UE distintos de España;Mujeres;42 años;2021;19.034
Países miembros de la UE distintos de España;Mujeres;43 años;2024;19.401
Países miembros de la UE distintos de España;Mujeres;43 años;2023;18.746
Países miembros de la UE distintos de España;Mujeres;43 años;2022;18.736
Países miembros de la UE distintos de España;Mujeres;43 años;2021;18.975
Países miembros de la UE distintos de España;Mujeres;44 años;2024;18.762
Países miembros de la UE distintos de España;Mujeres;44 años;2023;18.727
Países miembros de la UE distintos de España;Mujeres;44 años;2022;18.771
Países miembros de la UE distintos de España;Mujeres;44 años;2021;18.526
Países miembros de la UE distintos de España;Mujeres;45 años;2024;18.747
Países miembros de la UE distintos de España;Mujeres;45 años;2023;18.815
Países miembros de la UE distintos de España;Mujeres;45 años;2022;18.271
Países miembros de la UE distintos de España;Mujeres;45 años;2021;18.660
Países miembros de la UE distintos de España;Mujeres;46 años;2024;18.827
Países miembros de la UE distintos de España;Mujeres;46 años;2023;18.298
Países miembros de la UE distintos de España;Mujeres;46 años;2022;18.432
Países miembros de la UE distintos de España;Mujeres;46 años;2021;18.604
Países miembros de la UE distintos de España;Mujeres;47 años;2024;18.400
Países miembros de la UE distintos de España;Mujeres;47 años;2023;18.487
Países miembros de la UE distintos de España;Mujeres;47 años;2022;18.450
Países miembros de la UE distintos de España;Mujeres;47 años;2021;17.795
Países miembros de la UE distintos de España;Mujeres;48 años;2024;18.475
Países miembros de la UE distintos de España;Mujeres;48 años;2023;18.468
Países miembros de la UE distintos de España;Mujeres;48 años;2022;17.521
Países miembros de la UE distintos de España;Mujeres;48 años;2021;17.698
Países miembros de la UE distintos de España;Mujeres;49 años;2024;18.463
Países miembros de la UE distintos de España;Mujeres;49 años;2023;17.622
Países miembros de la UE distintos de España;Mujeres;49 años;2022;17.534
Países miembros de la UE distintos de España;Mujeres;49 años;2021;17.854
Países miembros de la UE distintos de España;Mujeres;50 años;2024;17.648
Países miembros de la UE distintos de España;Mujeres;50 años;2023;17.589
Países miembros de la UE distintos de España;Mujeres;50 años;2022;17.768
Países miembros de la UE distintos de España;Mujeres;50 años;2021;17.790
Países miembros de la UE distintos de España;Mujeres;51 años;2024;17.675
Países miembros de la UE distintos de España;Mujeres;51 años;2023;17.790
Países miembros de la UE distintos de España;Mujeres;51 años;2022;17.676
Países miembros de la UE distintos de España;Mujeres;51 años;2021;17.706
Países miembros de la UE distintos de España;Mujeres;52 años;2024;17.884
Países miembros de la UE distintos de España;Mujeres;52 años;2023;17.730
Países miembros de la UE distintos de España;Mujeres;52 años;2022;17.635
Países miembros de la UE distintos de España;Mujeres;52 años;2021;18.429
Países miembros de la UE distintos de España;Mujeres;53 años;2024;17.796
Países miembros de la UE distintos de España;Mujeres;53 años;2023;17.632
Países miembros de la UE distintos de España;Mujeres;53 años;2022;18.274
Países miembros de la UE distintos de España;Mujeres;53 años;2021;18.560
Países miembros de la UE distintos de España;Mujeres;54 años;2024;17.589
Países miembros de la UE distintos de España;Mujeres;54 años;2023;18.327
Países miembros de la UE distintos de España;Mujeres;54 años;2022;18.431
Países miembros de la UE distintos de España;Mujeres;54 años;2021;15.703
Países miembros de la UE distintos de España;Mujeres;55 años;2024;18.447
Países miembros de la UE distintos de España;Mujeres;55 años;2023;18.398
Países miembros de la UE distintos de España;Mujeres;55 años;2022;15.693
Países miembros de la UE distintos de España;Mujeres;55 años;2021;14.898
Países miembros de la UE distintos de España;Mujeres;56 años;2024;18.365
Países miembros de la UE distintos de España;Mujeres;56 años;2023;15.772
Países miembros de la UE distintos de España;Mujeres;56 años;2022;14.944
Países miembros de la UE distintos de España;Mujeres;56 años;2021;13.857
Países miembros de la UE distintos de España;Mujeres;57 años;2024;15.766
Países miembros de la UE distintos de España;Mujeres;57 años;2023;15.034
Países miembros de la UE distintos de España;Mujeres;57 años;2022;13.965
Países miembros de la UE distintos de España;Mujeres;57 años;2021;12.809
Países miembros de la UE distintos de España;Mujeres;58 años;2024;15.052
Países miembros de la UE distintos de España;Mujeres;58 años;2023;13.987
Países miembros de la UE distintos de España;Mujeres;58 años;2022;12.811
Países miembros de la UE distintos de España;Mujeres;58 años;2021;11.288
Países miembros de la UE distintos de España;Mujeres;59 años;2024;13.925
Países miembros de la UE distintos de España;Mujeres;59 años;2023;12.838
Países miembros de la UE distintos de España;Mujeres;59 años;2022;11.345
Países miembros de la UE distintos de España;Mujeres;59 años;2021;9.996
Países miembros de la UE distintos de España;Mujeres;60 años;2024;12.840
Países miembros de la UE distintos de España;Mujeres;60 años;2023;11.417
Países miembros de la UE distintos de España;Mujeres;60 años;2022;9.991
Países miembros de la UE distintos de España;Mujeres;60 años;2021;9.147
Países miembros de la UE distintos de España;Mujeres;61 años;2024;11.417
Países miembros de la UE distintos de España;Mujeres;61 años;2023;10.050
Países miembros de la UE distintos de España;Mujeres;61 años;2022;9.263
Países miembros de la UE distintos de España;Mujeres;61 años;2021;8.505
Países miembros de la UE distintos de España;Mujeres;62 años;2024;10.174
Países miembros de la UE distintos de España;Mujeres;62 años;2023;9.345
Países miembros de la UE distintos de España;Mujeres;62 años;2022;8.667
Países miembros de la UE distintos de España;Mujeres;62 años;2021;7.801
Países miembros de la UE distintos de España;Mujeres;63 años;2024;9.339
Países miembros de la UE distintos de España;Mujeres;63 años;2023;8.760
Países miembros de la UE distintos de España;Mujeres;63 años;2022;7.998
Países miembros de la UE distintos de España;Mujeres;63 años;2021;7.369
Países miembros de la UE distintos de España;Mujeres;64 años;2024;8.800
Países miembros de la UE distintos de España;Mujeres;64 años;2023;8.113
Países miembros de la UE distintos de España;Mujeres;64 años;2022;7.531
Países miembros de la UE distintos de España;Mujeres;64 años;2021;6.655
Países miembros de la UE distintos de España;Mujeres;65 años;2024;8.182
Países miembros de la UE distintos de España;Mujeres;65 años;2023;7.486
Países miembros de la UE distintos de España;Mujeres;65 años;2022;6.840
Países miembros de la UE distintos de España;Mujeres;65 años;2021;6.504
Países miembros de la UE distintos de España;Mujeres;66 años;2024;7.684
Países miembros de la UE distintos de España;Mujeres;66 años;2023;6.629
Países miembros de la UE distintos de España;Mujeres;66 años;2022;6.839
Países miembros de la UE distintos de España;Mujeres;66 años;2021;6.059
Países miembros de la UE distintos de España;Mujeres;67 años;2024;7.097
Países miembros de la UE distintos de España;Mujeres;67 años;2023;6.837
Países miembros de la UE distintos de España;Mujeres;67 años;2022;6.349
Países miembros de la UE distintos de España;Mujeres;67 años;2021;5.752
Países miembros de la UE distintos de España;Mujeres;68 años;2024;6.928
Países miembros de la UE distintos de España;Mujeres;68 años;2023;6.321
Países miembros de la UE distintos de España;Mujeres;68 años;2022;5.991
Países miembros de la UE distintos de España;Mujeres;68 años;2021;5.478
Países miembros de la UE distintos de España;Mujeres;69 años;2024;6.282
Países miembros de la UE distintos de España;Mujeres;69 años;2023;6.020
Países miembros de la UE distintos de España;Mujeres;69 años;2022;5.700
Países miembros de la UE distintos de España;Mujeres;69 años;2021;5.188
Países miembros de la UE distintos de España;Mujeres;70 años;2024;5.939
Países miembros de la UE distintos de España;Mujeres;70 años;2023;5.743
Países miembros de la UE distintos de España;Mujeres;70 años;2022;5.362
Países miembros de la UE distintos de España;Mujeres;70 años;2021;5.135
Países miembros de la UE distintos de España;Mujeres;71 años;2024;5.571
Países miembros de la UE distintos de España;Mujeres;71 años;2023;5.332
Países miembros de la UE distintos de España;Mujeres;71 años;2022;5.271
Países miembros de la UE distintos de España;Mujeres;71 años;2021;4.838
Países miembros de la UE distintos de España;Mujeres;72 años;2024;5.149
Países miembros de la UE distintos de España;Mujeres;72 años;2023;5.240
Países miembros de la UE distintos de España;Mujeres;72 años;2022;4.982
Países miembros de la UE distintos de España;Mujeres;72 años;2021;4.585
Países miembros de la UE distintos de España;Mujeres;73 años;2024;5.030
Países miembros de la UE distintos de España;Mujeres;73 años;2023;4.962
Países miembros de la UE distintos de España;Mujeres;73 años;2022;4.740
Países miembros de la UE distintos de España;Mujeres;73 años;2021;4.338
Países miembros de la UE distintos de España;Mujeres;74 años;2024;4.735
Países miembros de la UE distintos de España;Mujeres;74 años;2023;4.680
Países miembros de la UE distintos de España;Mujeres;74 años;2022;4.448
Países miembros de la UE distintos de España;Mujeres;74 años;2021;4.157
Países miembros de la UE distintos de España;Mujeres;75 años;2024;4.466
Países miembros de la UE distintos de España;Mujeres;75 años;2023;4.431
Países miembros de la UE distintos de España;Mujeres;75 años;2022;4.254
Países miembros de la UE distintos de España;Mujeres;75 años;2021;3.395
Países miembros de la UE distintos de España;Mujeres;76 años;2024;4.198
Países miembros de la UE distintos de España;Mujeres;76 años;2023;4.193
Países miembros de la UE distintos de España;Mujeres;76 años;2022;3.431
Países miembros de la UE distintos de España;Mujeres;76 años;2021;3.429
Países miembros de la UE distintos de España;Mujeres;77 años;2024;3.945
Países miembros de la UE distintos de España;Mujeres;77 años;2023;3.365
Países miembros de la UE distintos de España;Mujeres;77 años;2022;3.551
Países miembros de la UE distintos de España;Mujeres;77 años;2021;3.324
Países miembros de la UE distintos de España;Mujeres;78 años;2024;3.158
Países miembros de la UE distintos de España;Mujeres;78 años;2023;3.444
Países miembros de la UE distintos de España;Mujeres;78 años;2022;3.370
Países miembros de la UE distintos de España;Mujeres;78 años;2021;3.018
Países miembros de la UE distintos de España;Mujeres;79 años;2024;3.221
Países miembros de la UE distintos de España;Mujeres;79 años;2023;3.264
Países miembros de la UE distintos de España;Mujeres;79 años;2022;3.045
Países miembros de la UE distintos de España;Mujeres;79 años;2021;2.863
Países miembros de la UE distintos de España;Mujeres;80 años;2024;3.005
Países miembros de la UE distintos de España;Mujeres;80 años;2023;2.960
Países miembros de la UE distintos de España;Mujeres;80 años;2022;2.843
Países miembros de la UE distintos de España;Mujeres;80 años;2021;2.587
Países miembros de la UE distintos de España;Mujeres;81 años;2024;2.757
Países miembros de la UE distintos de España;Mujeres;81 años;2023;2.765
Países miembros de la UE distintos de España;Mujeres;81 años;2022;2.588
Países miembros de la UE distintos de España;Mujeres;81 años;2021;2.559
Países miembros de la UE distintos de España;Mujeres;82 años;2024;2.560
Países miembros de la UE distintos de España;Mujeres;82 años;2023;2.481
Países miembros de la UE distintos de España;Mujeres;82 años;2022;2.519
Países miembros de la UE distintos de España;Mujeres;82 años;2021;1.926
Países miembros de la UE distintos de España;Mujeres;83 años;2024;2.253
Países miembros de la UE distintos de España;Mujeres;83 años;2023;2.422
Países miembros de la UE distintos de España;Mujeres;83 años;2022;1.915
Países miembros de la UE distintos de España;Mujeres;83 años;2021;1.718
Países miembros de la UE distintos de España;Mujeres;84 años;2024;2.239
Países miembros de la UE distintos de España;Mujeres;84 años;2023;1.828
Países miembros de la UE distintos de España;Mujeres;84 años;2022;1.662
Países miembros de la UE distintos de España;Mujeres;84 años;2021;1.489
Países miembros de la UE distintos de España;Mujeres;85 años;2024;1.654
Países miembros de la UE distintos de España;Mujeres;85 años;2023;1.565
Países miembros de la UE distintos de España;Mujeres;85 años;2022;1.441
Países miembros de la UE distintos de España;Mujeres;85 años;2021;1.264
Países miembros de la UE distintos de España;Mujeres;86 años;2024;1.428
Países miembros de la UE distintos de España;Mujeres;86 años;2023;1.341
Países miembros de la UE distintos de España;Mujeres;86 años;2022;1.216
Países miembros de la UE distintos de España;Mujeres;86 años;2021;1.103
Países miembros de la UE distintos de España;Mujeres;87 años;2024;1.210
Países miembros de la UE distintos de España;Mujeres;87 años;2023;1.150
Países miembros de la UE distintos de España;Mujeres;87 años;2022;1.063
Países miembros de la UE distintos de España;Mujeres;87 años;2021;998
Países miembros de la UE distintos de España;Mujeres;88 años;2024;1.014
Países miembros de la UE distintos de España;Mujeres;88 años;2023;982
Países miembros de la UE distintos de España;Mujeres;88 años;2022;919
Países miembros de la UE distintos de España;Mujeres;88 años;2021;968
Países miembros de la UE distintos de España;Mujeres;89 años;2024;890
Países miembros de la UE distintos de España;Mujeres;89 años;2023;825
Países miembros de la UE distintos de España;Mujeres;89 años;2022;880
Países miembros de la UE distintos de España;Mujeres;89 años;2021;951
Países miembros de la UE distintos de España;Mujeres;90 años;2024;728
Países miembros de la UE distintos de España;Mujeres;90 años;2023;793
Países miembros de la UE distintos de España;Mujeres;90 años;2022;834
Países miembros de la UE distintos de España;Mujeres;90 años;2021;826
Países miembros de la UE distintos de España;Mujeres;91 años;2024;701
Países miembros de la UE distintos de España;Mujeres;91 años;2023;703
Países miembros de la UE distintos de España;Mujeres;91 años;2022;733
Países miembros de la UE distintos de España;Mujeres;91 años;2021;631
Países miembros de la UE distintos de España;Mujeres;92 años;2024;584
Países miembros de la UE distintos de España;Mujeres;92 años;2023;635
Países miembros de la UE distintos de España;Mujeres;92 años;2022;555
Países miembros de la UE distintos de España;Mujeres;92 años;2021;450
Países miembros de la UE distintos de España;Mujeres;93 años;2024;533
Países miembros de la UE distintos de España;Mujeres;93 años;2023;448
Países miembros de la UE distintos de España;Mujeres;93 años;2022;403
Países miembros de la UE distintos de España;Mujeres;93 años;2021;391
Países miembros de la UE distintos de España;Mujeres;94 años;2024;369
Países miembros de la UE distintos de España;Mujeres;94 años;2023;332
Países miembros de la UE distintos de España;Mujeres;94 años;2022;345
Países miembros de la UE distintos de España;Mujeres;94 años;2021;313
Países miembros de la UE distintos de España;Mujeres;95 años;2024;267
Países miembros de la UE distintos de España;Mujeres;95 años;2023;271
Países miembros de la UE distintos de España;Mujeres;95 años;2022;272
Países miembros de la UE distintos de España;Mujeres;95 años;2021;251
Países miembros de la UE distintos de España;Mujeres;96 años;2024;211
Países miembros de la UE distintos de España;Mujeres;96 años;2023;216
Países miembros de la UE distintos de España;Mujeres;96 años;2022;213
Países miembros de la UE distintos de España;Mujeres;96 años;2021;192
Países miembros de la UE distintos de España;Mujeres;97 años;2024;164
Países miembros de la UE distintos de España;Mujeres;97 años;2023;155
Países miembros de la UE distintos de España;Mujeres;97 años;2022;163
Países miembros de la UE distintos de España;Mujeres;97 años;2021;122
Países miembros de la UE distintos de España;Mujeres;98 años;2024;128
Países miembros de la UE distintos de España;Mujeres;98 años;2023;119
Países miembros de la UE distintos de España;Mujeres;98 años;2022;91
Países miembros de la UE distintos de España;Mujeres;98 años;2021;79
Países miembros de la UE distintos de España;Mujeres;99 años;2024;88
Países miembros de la UE distintos de España;Mujeres;99 años;2023;67
Países miembros de la UE distintos de España;Mujeres;99 años;2022;71
Países miembros de la UE distintos de España;Mujeres;99 años;2021;64
Países miembros de la UE distintos de España;Mujeres;100 y más años;2024;107
Países miembros de la UE distintos de España;Mujeres;100 y más años;2023;99
Países miembros de la UE distintos de España;Mujeres;100 y más años;2022;109
Países miembros de la UE distintos de España;Mujeres;100 y más años;2021;80
Otros países con nivel de desarrollo muy alto;Total;Todas las edades;2024;1.152.728
Otros países con nivel de desarrollo muy alto;Total;Todas las edades;2023;1.104.529
Otros países con nivel de desarrollo muy alto;Total;Todas las edades;2022;1.019.357
Otros países con nivel de desarrollo muy alto;Total;Todas las edades;2021;973.734
Otros países con nivel de desarrollo muy alto;Total;0 años;2024;556
Otros países con nivel de desarrollo muy alto;Total;0 años;2023;693
Otros países con nivel de desarrollo muy alto;Total;0 años;2022;587
Otros países con nivel de desarrollo muy alto;Total;0 años;2021;426
Otros países con nivel de desarrollo muy alto;Total;1 año;2024;2.301
Otros países con nivel de desarrollo muy alto;Total;1 año;2023;2.305
Otros países con nivel de desarrollo muy alto;Total;1 año;2022;1.791
Otros países con nivel de desarrollo muy alto;Total;1 año;2021;1.759
Otros países con nivel de desarrollo muy alto;Total;2 años;2024;3.844
Otros países con nivel de desarrollo muy alto;Total;2 años;2023;3.432
Otros países con nivel de desarrollo muy alto;Total;2 años;2022;2.942
Otros países con nivel de desarrollo muy alto;Total;2 años;2021;3.197
Otros países con nivel de desarrollo muy alto;Total;3 años;2024;4.679
Otros países con nivel de desarrollo muy alto;Total;3 años;2023;4.441
Otros países con nivel de desarrollo muy alto;Total;3 años;2022;4.075
Otros países con nivel de desarrollo muy alto;Total;3 años;2021;4.221
Otros países con nivel de desarrollo muy alto;Total;4 años;2024;5.725
Otros países con nivel de desarrollo muy alto;Total;4 años;2023;5.593
Otros países con nivel de desarrollo muy alto;Total;4 años;2022;5.079
Otros países con nivel de desarrollo muy alto;Total;4 años;2021;5.069
Otros países con nivel de desarrollo muy alto;Total;5 años;2024;6.670
Otros países con nivel de desarrollo muy alto;Total;5 años;2023;6.485
Otros países con nivel de desarrollo muy alto;Total;5 años;2022;5.676
Otros países con nivel de desarrollo muy alto;Total;5 años;2021;5.299
Otros países con nivel de desarrollo muy alto;Total;6 años;2024;7.467
Otros países con nivel de desarrollo muy alto;Total;6 años;2023;7.063
Otros países con nivel de desarrollo muy alto;Total;6 años;2022;6.000
Otros países con nivel de desarrollo muy alto;Total;6 años;2021;5.354
Otros países con nivel de desarrollo muy alto;Total;7 años;2024;8.148
Otros países con nivel de desarrollo muy alto;Total;7 años;2023;7.280
Otros países con nivel de desarrollo muy alto;Total;7 años;2022;5.996
Otros países con nivel de desarrollo muy alto;Total;7 años;2021;5.021
Otros países con nivel de desarrollo muy alto;Total;8 años;2024;8.264
Otros países con nivel de desarrollo muy alto;Total;8 años;2023;7.210
Otros países con nivel de desarrollo muy alto;Total;8 años;2022;5.613
Otros países con nivel de desarrollo muy alto;Total;8 años;2021;4.702
Otros países con nivel de desarrollo muy alto;Total;9 años;2024;8.108
Otros países con nivel de desarrollo muy alto;Total;9 años;2023;6.791
Otros países con nivel de desarrollo muy alto;Total;9 años;2022;5.337
Otros países con nivel de desarrollo muy alto;Total;9 años;2021;4.711
